Company,Position,Top_1_Resume_ID,Top_1_Category,Top_1_Similarity,Top_2_Category,Top_2_Resume_ID,Top_3_Category,Top_2_Similarity,Top_3_Resume_ID,Top_3_Similarity
Johnson & Johnson,account executive columbus oh amo sale service inc,15581242,SALES,0.9395824670791626,SALES,34303500,AVIATION,0.9388147592544556,24544244,0.9387083053588867
Accenture,workday sale director,35474904,ADVOCATE,0.9521438479423523,BUSINESS-DEVELOPMENT,59696315,FINANCE,0.9514257311820984,38225199,0.9508770108222961
TQL,account executive inside sale,17781039,SALES,0.9613935351371765,DESIGNER,11958994,AVIATION,0.9603369832038879,10189110,0.9597545862197876
Spectrum,business sale account executive,24544244,AVIATION,0.9712293148040771,ADVOCATE,35474904,BANKING,0.968658447265625,17189156,0.9669659733772278
Dreamory Entertainment Group Sdn Bhd,full stack web developer,62994611,AGRICULTURE,0.9457765817642212,BPO,41152404,CONSTRUCTION,0.9442715644836426,33141415,0.9423980116844177
EQUILOGICS,web developer,62994611,AGRICULTURE,0.9585434198379517,BPO,13964744,DESIGNER,0.9556623101234436,85101052,0.9529041647911072
Commerce DotAsia Enterprise Sdn Bhd,web developer front end,13964744,BPO,0.9123649001121521,SALES,29134721,INFORMATION-TECHNOLOGY,0.9090060591697693,22450718,0.9075292944908142
Publicis Groupe,front end engineer ui developer,62994611,AGRICULTURE,0.9475983381271362,BPO,41152404,DESIGNER,0.9438362121582031,26790545,0.9409396648406982
Grand-flo Spritvest Sdn Bhd,software engineer web,22450718,INFORMATION-TECHNOLOGY,0.9285440444946289,ENGINEERING,12472574,ENGINEERING,0.924360454082489,13149176,0.9220013618469238
Bright Nexus (M) Sdn Bhd,web developer,26746496,INFORMATION-TECHNOLOGY,0.9186640381813049,INFORMATION-TECHNOLOGY,16186411,AGRICULTURE,0.9152671694755554,62994611,0.9149077534675598
MEGASAP,intern web developer mobile developer game developer,33141415,CONSTRUCTION,0.8991907835006714,AGRICULTURE,62994611,DESIGNER,0.8758376240730286,29524570,0.8747984766960144
FlexForce Industrial,supply chain analyst,11444536,CHEF,0.9616285562515259,CONSTRUCTION,30397268,FITNESS,0.9566108584403992,26459032,0.9559307098388672
OakTree,supply chain analyst iv,28628090,ENGINEERING,0.9683611392974854,BPO,13964744,BUSINESS-DEVELOPMENT,0.9675508737564087,25397102,0.9643800258636475
Berryman Chemical Inc.,supply chain analyst,11444536,CHEF,0.9402328729629517,AVIATION,94137171,AVIATION,0.9352531433105469,36252245,0.9336573481559753
Waukesha Pearce Industries,supply chain analyst ed,34304175,ARTS,0.9464017152786255,CONSTRUCTION,71576860,ENGINEERING,0.9458492994308472,21038022,0.943604052066803
Sysco,analyst ii supply chain corporate u open,12011623,ENGINEERING,0.9286423921585083,ENGINEERING,11890896,BPO,0.9286134839057922,13964744,0.9217768311500549
Halliburton,supply chain analyst senior,28628090,ENGINEERING,0.9509913325309753,APPAREL,20905088,BUSINESS-DEVELOPMENT,0.9468165636062622,25397102,0.9468063116073608
Texas Children's Hospital,supply chain analyst,12315079,HEALTHCARE,0.9315180778503418,ENGINEERING,21038022,AVIATION,0.9290327429771423,17152392,0.9282708764076233
New Fortress Energy,supply chain analyst,13964744,BPO,0.8811104893684387,ACCOUNTANT,22925443,CONSULTANT,0.8801306486129761,21156767,0.8744350075721741
Shell,business analyst supply chain,29134721,SALES,0.961178183555603,TEACHER,66683238,BPO,0.9610476493835449,13964744,0.9557986855506897
Bloomingdale’s,commission sale associate men full time beverly center,28939941,ACCOUNTANT,0.937376856803894,ADVOCATE,22391901,TEACHER,0.9343240261077881,66683238,0.9335278868675232
BLOOMINGDALE'S,commission sale associate men full time beverly center,28939941,ACCOUNTANT,0.9310398697853088,ADVOCATE,22391901,AVIATION,0.9305615425109863,24544244,0.9279879927635193
Grasstik,commission sale associate,50328713,ENGINEERING,0.7080375552177429,PUBLIC-RELATIONS,22455205,AVIATION,0.6971319913864136,24668861,0.6960293650627136
"Macy's, Inc.",retail commission sale associate fine jewelry del amo fashion,29928796,SALES,0.9124209880828857,APPAREL,41586420,APPAREL,0.9066365361213684,17659053,0.903301477432251
Macy's,retail commission sale associate fine jewelry northridge,24544244,AVIATION,0.946603536605835,ACCOUNTANT,28939941,ADVOCATE,0.9440042972564697,22391901,0.9434213042259216
Neon Pizza,kitchen prep cleaning,92200491,SALES,0.884030818939209,CHEF,61322296,CHEF,0.8839572668075562,37231163,0.882712185382843
HAWKINS HOUSE OF BURGERS,kitchen cleaner,17876954,AVIATION,0.9292442798614502,ENGINEERING,19612167,SALES,0.9257128238677979,17704246,0.9249618053436279
Bon Appétit Management Company,kitchen cleaner utility,11130200,FITNESS,0.9051128029823303,APPAREL,12059610,FITNESS,0.8973470330238342,12092347,0.8951515555381775
Motion Picture & Television Fund,dishwasher kitchen cleaner,29775391,CHEF,0.8933055996894836,CHEF,30311202,CHEF,0.884921669960022,74522938,0.8843254446983337
Los Angeles Airport Marriott,utility cleaner kitchen 19 77 hr,17876954,AVIATION,0.9024636745452881,SALES,17704246,FITNESS,0.9006519317626953,16038911,0.899712085723877
Hotel Cleaning Services,overnight janitor los angeles california,69005326,TEACHER,0.9225373864173889,FITNESS,12092347,CHEF,0.9145216941833496,94047639,0.9140205383300781
Dave & Buster's,dishwasher,30311202,CHEF,0.9119693636894226,FITNESS,12092347,CHEF,0.9001786112785339,29775391,0.8995991349220276
Green Guard Services,kitchen exhaust associate commerce ca,12092347,FITNESS,0.933558464050293,TEACHER,69005326,APPAREL,0.9289988279342651,12059610,0.927945613861084
Michael Page,senior software developer 160k 100 remote,29134721,SALES,0.9392397403717041,BPO,13964744,AGRICULTURE,0.9347785711288452,62994611,0.9312452077865601
ManTech,software developer new graduate,29134721,SALES,0.9532410502433777,CONSULTANT,11020140,INFORMATION-TECHNOLOGY,0.950398325920105,22450718,0.9491277933120728
Transcend,software engineer u remote,13964744,BPO,0.85069739818573,INFORMATION-TECHNOLOGY,22450718,ARTS,0.8472267389297485,83338413,0.8471510410308838
Alley,software developer,29134721,SALES,0.9450978636741638,DESIGNER,26496059,ENGINEERING,0.9335744380950928,12472574,0.930459201335907
Remote Team Inc.,software developer,29134721,SALES,0.9576605558395386,TEACHER,66683238,CONSTRUCTION,0.9518802165985107,29087505,0.9504273533821106
UNAVAILABLE,senior software developer full stack remote,13149176,ENGINEERING,0.9324032068252563,CONSULTANT,11020140,BPO,0.9300068616867065,13964744,0.9276160001754761
SOCi,full stack software engineer,33141415,CONSTRUCTION,0.9452157616615295,AGRICULTURE,62994611,BANKING,0.9407380819320679,21297521,0.9343360662460327
Biofidelity,software developer,18457785,BANKING,0.9579541087150574,BPO,13964744,INFORMATION-TECHNOLOGY,0.9579097032546997,22450718,0.9567875862121582
Inspire,software engineer remote,29134721,SALES,0.9485241174697876,HR,16877897,ENGINEERING,0.9467006921768188,12472574,0.944372296333313
DeMarco Inc,vice president operation,26509539,CONSTRUCTION,0.9233441948890686,SALES,19147494,AVIATION,0.9227026700973511,10189110,0.9223902821540833
AD   ZipRecruiter,bank president job columbus ohio,50328713,ENGINEERING,0.7080375552177429,PUBLIC-RELATIONS,22455205,AVIATION,0.6971319913864136,24668861,0.6960293650627136
Equity Commercial Real Estate Solutions,senior vice president property management,18208580,BANKING,0.9522249102592468,PUBLIC-RELATIONS,11902276,AUTOMOBILE,0.9498205780982971,91515108,0.9492397904396057
Fisher Investments,regional vice president sale,39875803,BUSINESS-DEVELOPMENT,0.9544265866279602,BANKING,18805506,FITNESS,0.953550398349762,35164503,0.9527531862258911
Aon,health solution vice president actuary,12955994,CONSULTANT,0.962011992931366,BUSINESS-DEVELOPMENT,39237915,HEALTHCARE,0.9575045704841614,24550866,0.957205057144165
The Ohio State University,vice president inclusive excellence,29926588,ADVOCATE,0.92924565076828,PUBLIC-RELATIONS,21663616,BANKING,0.9270368814468384,21796843,0.926230788230896
HARDI,marketing director,22706174,DIGITAL-MEDIA,0.9618782997131348,ARTS,21867728,AGRICULTURE,0.9517657160758972,89740812,0.950985848903656
TEGNA Inc.,marketing director,16276121,DIGITAL-MEDIA,0.9509019255638123,PUBLIC-RELATIONS,49119887,BANKING,0.9508446455001831,25162378,0.950622022151947
GovCIO,director audience marketing,28939941,ACCOUNTANT,0.9640844464302063,DIGITAL-MEDIA,16276121,BUSINESS-DEVELOPMENT,0.9621044397354126,59696315,0.9603727459907532
Job Juncture,director sale marketing,25162378,BANKING,0.9514254927635193,BUSINESS-DEVELOPMENT,19557384,BUSINESS-DEVELOPMENT,0.950054943561554,29208172,0.9476008415222168
Starry,b2b marketing manager,28939941,ACCOUNTANT,0.9603959918022156,TEACHER,66683238,BANKING,0.9554572105407715,25162378,0.9530701041221619
Aaron's Inc,sale manager,29865476,DESIGNER,0.9773685932159424,FINANCE,24967652,TEACHER,0.9731622934341431,12587973,0.9706479907035828
PwC,sap alliance marketing director,59696315,BUSINESS-DEVELOPMENT,0.9633891582489014,DIGITAL-MEDIA,22706174,ARTS,0.9621480107307434,21867728,0.9618242979049683
"Direct Sales Recruiting, LLC",marketing director e learning columbus oh,21867728,ARTS,0.950336754322052,HR,17412079,HR,0.9458226561546326,13879043,0.9457469582557678
Insight Global,enterprise sale executive,37540732,SALES,0.9478538632392883,SALES,18171955,FINANCE,0.9447871446609497,18975686,0.9421772956848145
Columbus Business First,multi medium advertising sale executive,12587973,TEACHER,0.9596560597419739,FINANCE,38225199,PUBLIC-RELATIONS,0.9574689865112305,11902276,0.9573593139648438
Great Lakes Brewing Company,field sale representative columbus ohio,34304175,ARTS,0.95942622423172,AVIATION,17876954,AVIATION,0.958679735660553,24544244,0.9583670496940613
Heartland,outside sale executive remote,29865476,DESIGNER,0.9649191498756409,FINANCE,24967652,SALES,0.9648704528808594,34131484,0.9639448523521423
Nespresso,retail sale associate,21060367,ARTS,0.92600417137146,TEACHER,22807104,SALES,0.9215949773788452,29928796,0.920918345451355
H&M,retail sale associate,19147494,SALES,0.9333689212799072,DESIGNER,29865476,SALES,0.9320433139801025,23782450,0.9319154620170593
Nike Inc,retail sale associate,22391901,ADVOCATE,0.9572854042053223,BANKING,17189156,AVIATION,0.9523367881774902,24544244,0.9507907629013062
Gap,sale associate easton c,19156751,SALES,0.9465349316596985,DESIGNER,11958994,APPAREL,0.944739043712616,17659053,0.9437673687934875
The Tile Shop,part time sale associate,66683238,TEACHER,0.9450289607048035,CONSTRUCTION,22983516,ARTS,0.9425385594367981,21809601,0.942417323589325
The Chefs' Warehouse,selling inside sale associate,13909762,ADVOCATE,0.9737127423286438,SALES,15620421,DESIGNER,0.972454309463501,29865476,0.9722145199775696
Lowe's,pt sale associate proservices flexible,19147494,SALES,0.9658078551292419,APPAREL,58208591,ACCOUNTANT,0.9651793241500854,25547145,0.96466463804245
Galls LLC,retail sale associate full time part time columbus ohio,17704246,SALES,0.9621618390083313,SALES,19147494,HEALTHCARE,0.9598304033279419,64471954,0.9591997861862183
Old Navy,sale associate sun center,19156751,SALES,0.9427676796913147,ADVOCATE,35474904,CHEF,0.9397189021110535,11444536,0.9371944069862366
PetSmart,retail sale associate,11444536,CHEF,0.8781031966209412,SALES,14358578,CONSTRUCTION,0.8750923275947571,71576860,0.8710094690322876
Performance Columbus Auto Group,business development center representative performance columbus,26530696,SALES,0.9625490307807922,FITNESS,63282405,DESIGNER,0.960492730140686,29865476,0.9604471325874329
coyote,business development sale representative columbus,41910253,HEALTHCARE,0.9545667171478271,BANKING,17189156,CHEF,0.9544488191604614,23591247,0.9506330490112305
Performance Automotive,business development center representative performance columbus,26530696,SALES,0.9559482932090759,FITNESS,63282405,BUSINESS-DEVELOPMENT,0.9537274241447449,17095812,0.952961266040802
Performance Columbus,business development center representative performance cadillac gmc,71772815,SALES,0.9525696635246277,SALES,19473948,SALES,0.952281653881073,19156751,0.9481271505355835
Acadia Healthcare,business development representative,60624892,HEALTHCARE,0.9546685218811035,TEACHER,27531694,HEALTHCARE,0.9527508616447449,13565152,0.9498052000999451
Germain of Columbus,automotive business development center bdc representative,49486820,ADVOCATE,0.9561278820037842,ADVOCATE,35474904,AUTOMOBILE,0.953349232673645,14508237,0.953260064125061
Alberta Health Services,registered nurse,26456474,ADVOCATE,0.9515840411186218,ADVOCATE,27182111,ADVOCATE,0.9421961903572083,37640804,0.9420880079269409
"Express Employment Professionals - Red Deer, AB",bilingual occupational registered nurse,80053367,ACCOUNTANT,0.9403581619262695,HEALTHCARE,15636923,SALES,0.9386998414993286,37360517,0.9380111694335938
Medika North Inc,registered nurse rn,16356151,HEALTHCARE,0.9580463171005249,HEALTHCARE,34962725,HEALTHCARE,0.9495081901550293,14062078,0.9469196200370789
Bethany Care Society,registered nurse rn ca02 007,26456474,ADVOCATE,0.9291946887969971,ADVOCATE,46772262,FITNESS,0.927402138710022,24219583,0.9249780178070068
Alio Health Services,registered nurse,37374340,HEALTHCARE,0.9453727602958679,HEALTHCARE,28670024,HEALTHCARE,0.9452067017555237,12938200,0.9448028802871704
AgeCare Ltd.,registered nurse casual mount royal,26456474,ADVOCATE,0.9432783722877502,HEALTHCARE,16356151,HEALTHCARE,0.9371014833450317,34962725,0.9361233711242676
Helix,senior manager test,29134721,SALES,0.9604684710502625,ENGINEERING,37335325,ADVOCATE,0.9588484764099121,11963737,0.9576709270477295
General Entertainment Content,testing monitor dge part time nyc,41910253,HEALTHCARE,0.9484781622886658,ADVOCATE,24588864,HR,0.9442232251167297,27847081,0.9429129958152771
Infosys,firmware test engineer,41152404,BPO,0.9010312557220459,ENGINEERING,82246962,ENGINEERING,0.898997962474823,27152464,0.894657552242279
New York State Civil Service,test center monitor,22925443,ACCOUNTANT,0.9158980250358582,TEACHER,37402097,ENGINEERING,0.908336341381073,16911115,0.9081676006317139
Spotify,software engineer test advertising,41152404,BPO,0.9263300895690918,ENGINEERING,37335325,ENGINEERING,0.925352931022644,27152464,0.9246264696121216
John Varvatos,bulk product testing coordinator,28628090,ENGINEERING,0.9328314065933228,ENGINEERING,21847415,CONSULTANT,0.9307047128677368,73075521,0.9306694269180298
Wheels Up Partners LLC,salesforce com qa tester,22259768,CONSULTANT,0.9445903897285461,BANKING,71422121,ENGINEERING,0.9403751492500305,37335325,0.9367126226425171
"Technogen, Inc",test developer,37335325,ENGINEERING,0.926408588886261,ENGINEERING,12472574,DESIGNER,0.9256232380867004,26496059,0.9239336848258972
"CGI Technologies and Solutions, Inc.",program compliance manager,18949843,HEALTHCARE,0.947492778301239,CONSULTANT,12955994,AVIATION,0.9438474774360657,24154692,0.9435253143310547
"CGI Group, Inc.",program compliance manager remote,12955994,CONSULTANT,0.9542158842086792,HEALTHCARE,18949843,HR,0.9531448483467102,24508725,0.9515085220336914
Meta,governance risk compliance program manager,52246737,INFORMATION-TECHNOLOGY,0.9368162751197815,INFORMATION-TECHNOLOGY,19796840,CONSULTANT,0.9306443333625793,12955994,0.9271205067634583
Prime Therapeutics,compliance manager,28423028,HEALTHCARE,0.9310034513473511,HEALTHCARE,18949843,CONSULTANT,0.929442822933197,12955994,0.9283905029296875
"Anthem, Inc",compliance director,57667857,HR,0.9420199394226074,HR,24508725,HR,0.9384206533432007,11480899,0.9382448792457581
EXPRESS,sr analyst compliance,11963737,ADVOCATE,0.9584965109825134,BPO,13964744,SALES,0.9524034261703491,29134721,0.951802134513855
martinwolf | M&A Advisors,marketing manager,22706174,DIGITAL-MEDIA,0.9457684755325317,DIGITAL-MEDIA,80679862,ARTS,0.9446685314178467,21867728,0.9393179416656494
COLLEGE NOW GREATER CLEVELAND,college career advisor cuyahoga county,18725071,ADVOCATE,0.9463265538215637,TEACHER,20399718,TEACHER,0.9435392618179321,17481570,0.9415045976638794
H.O.P.E. Works,job coach,15636923,HEALTHCARE,0.9464694857597351,AUTOMOBILE,14508237,TEACHER,0.9437578916549683,66683238,0.9412912130355835
Youth Opportunities Unlimited,career specialist instructor,17481570,TEACHER,0.9486224055290222,ARTS,29148871,TEACHER,0.9424139857292175,15850434,0.9400585889816284
Franchise Career Advisor,digital marketing sale territory run show,17189156,BANKING,0.9194269776344299,AVIATION,24544244,BANKING,0.9098798632621765,18208580,0.9098324179649353
Grant Thornton LLP (US),advisory strategic resource manager,41910253,HEALTHCARE,0.9712771773338318,TEACHER,66683238,FITNESS,0.9628517031669617,12938389,0.9627895355224609
OHM Advisors,water resource project manager,24322804,ENGINEERING,0.9566404819488525,ENGINEERING,19612167,DESIGNER,0.9526577591896057,13774329,0.9505138993263245
State of Ohio,criminal investigator 2,10876132,APPAREL,0.9363898038864136,AUTOMOBILE,15100547,AUTOMOBILE,0.9317920804023743,32109048,0.9315828084945679
"Department of Administrative Services, State of Ohio",criminal investigator,15100547,AUTOMOBILE,0.9379062652587891,ADVOCATE,20604208,ADVOCATE,0.9366503953933716,74126637,0.9360451102256775
Vcheck Global,public investigator,24588864,ADVOCATE,0.9549470543861389,BUSINESS-DEVELOPMENT,17730889,HR,0.9453336596488953,27847081,0.944964587688446
Talentify,organized retail crime investigator virtual columbus,66683238,TEACHER,0.9466814398765564,AVIATION,36727173,ADVOCATE,0.9460862874984741,24588864,0.9439985156059265
Allied Universal,private investigator,15100547,AUTOMOBILE,0.949142575263977,ADVOCATE,14708590,HR,0.941828191280365,24508725,0.9407248497009277
"DigiStream Detroit, Inc.",entry level surveillance investigator,26780935,HR,0.9278289675712585,FITNESS,32517106,HEALTHCARE,0.9254348278045654,10568183,0.9249053597450256
My Justice Career,criminal justice,45286020,TEACHER,0.7635584473609924,AVIATION,24668861,ENGINEERING,0.7635529637336731,11890896,0.7618964314460754
Allied Universal® Compliance and Investigations,surveillance investigator,15100547,AUTOMOBILE,0.9062877893447876,AGRICULTURE,27689009,AUTOMOBILE,0.904974102973938,32109048,0.8995007872581482
Equifax,claim investigator,34594746,HEALTHCARE,0.9476128220558167,AUTOMOBILE,47487091,HR,0.9438295364379883,27847081,0.9435274600982666
"Davita, Inc.",inventory clerk,50328713,ENGINEERING,0.7080375552177429,PUBLIC-RELATIONS,22455205,AVIATION,0.6971319913864136,24668861,0.6960293650627136
DAVITA,inventory clerk,11444536,CHEF,0.9295743703842163,APPAREL,41586420,AVIATION,0.9283978343009949,21287405,0.9273196458816528
Walmart,inventory clerk,71576860,CONSTRUCTION,0.8471470475196838,FITNESS,28321954,FITNESS,0.8388901352882385,12092347,0.8359276056289673
Superior Air-Ground Ambulance,inventory clerk,22925443,ACCOUNTANT,0.9121678471565247,SALES,14267489,AVIATION,0.9089429378509521,36252245,0.9084904193878174
