Job Description Index,Company Name,Position Title,Top_1_Resume_ID,Top_1_Similarity,Top_2_Resume_ID,Top_2_Similarity,Top_3_Resume_ID,Top_3_Similarity
24,On Time Talent Solutions,Chief Executive Officer - Healthcare - Columbus,60624892,0.86450464,17624934,0.84708333,19108760,0.83004606
25,Vistage Worldwide,CEO Coach,28939941,0.83865446,18557164,0.82760847,16237710,0.82753015
26,HSBC,Assistant Vice President Premier Relationship Manager,18208580,0.83219177,12955994,0.8241941,80527194,0.8152751
27,Owner Actions,Digital Marketing Specialist,12230301,0.82424915,85421438,0.8194295,81508860,0.8121462
28,OhioHealth,Senior Marketing Specialist,68781345,0.87467813,21867728,0.86255074,26173524,0.85812986
29,Express,"Performance Marketing Specialist, Paid Media",80679862,0.90597,16276121,0.8780738,29825044,0.8708108
30,Dispatch,"Software Engineer - Reno, NV",85101052,0.8147435,62994611,0.808545,28126340,0.7908932
31,Epic,Software Engineer,12011623,0.84180754,25990239,0.7952241,11963737,0.7905691
32,Revature LLC,Entry Level Software Engineer,29926588,0.833464,10235211,0.7750249,34033933,0.77223885
33,Light & Wonder,Associate Software Engineering,70089206,0.858954,41152404,0.849975,27152464,0.8482214
34,Hughes Private Capital LLC,Software Engineer,62994611,0.90867096,27152464,0.9079424,85101052,0.90670073
35,Hired,Software Engineer,41152404,0.8342022,62994611,0.8215873,16186411,0.8202659
36,Blockchains,Software Engineer (JavaScript Backend),41152404,0.87573016,85101052,0.87007445,62994611,0.86853385
37,"Vitalwerks Internet Solutions, LLC",Senior Software Engineer,85101052,0.84788775,12144825,0.82757187,83816738,0.81486654
38,Germer International,Warehouse Manager,36252245,0.8791653,20905088,0.8543625,28628090,0.8477754
39,The Coca Cola Company,Warehouse Manager,11183737,0.85175896,17876954,0.8398372,54421668,0.83125305
40,Coca-Cola Consolidated,Warehouse Manager IV,23761385,0.92603254,12938389,0.9101919,16279537,0.9041554
41,Graham Packaging,Warehouse Manager,34304175,0.84883916,41910253,0.8358624,24544244,0.82999957
42,Floor & Decor,Warehouse Supervisor,11183737,0.8926232,34304175,0.8799938,16877897,0.87988645
43,Norwalk Furniture & Design,Warehouse Manager,34304175,0.81780237,41910253,0.81338096,27030979,0.80348456
44,Standlee Premium Western Forage,Warehouse Management Specialist,12092347,0.7710364,29784524,0.7544836,11130200,0.75303656
45,Lansing Building Products,"Warehouse Manager - Lexington, KY",71576860,0.853683,10189110,0.8473363,17704246,0.8435857
46,AVI Foodsystems,Warehouse Supervisor,17876954,0.9037423,11183737,0.88963056,10189110,0.8869416
47,NASB Financial Inc.,Bank Teller,17189156,0.90145594,35474904,0.8872708,24544244,0.8833327
48,Citizens Bank & Trust,Part-time Bank Teller/Financial Services Representative,24544244,0.91590077,17189156,0.90512955,35474904,0.8678656
49,The Bank of Grain Valley,Bank Teller,24508725,0.76448405,38698573,0.754817,16877897,0.7503928
50,Landmark National Bank,Full Time Teller,35474904,0.8739117,28808263,0.8654427,14256329,0.86276436
51,Bank Of America,Bank Teller,17189156,0.84265083,24544244,0.84006023,12504278,0.82307917
52,Central Bank of the Midwest,Seasonal Teller,35474904,0.86080503,17189156,0.8527069,12504278,0.85080457
53,US Bank,Bank Teller,24544244,0.8280529,17189156,0.8047575,28745844,0.79707676
54,The Bank of Grain Valley -,Bank Teller,32219038,0.8187789,14146106,0.8176069,29612672,0.80158925
55,"J.B. Hunt Transport Services, Inc.",Sales Executive,17714174,0.8965043,11902276,0.89219105,18975686,0.8911778
56,FIS,Sales Executive III Client Management,18208580,0.9078166,25162378,0.89483535,11902276,0.88296145
57,AC Hotel Columbus Downtown,Sales Manager,28939941,0.86294514,67501448,0.8600569,57262959,0.84790945
58,SPECTRUM,Account Executive,24544244,0.92697155,17189156,0.91124934,35474904,0.88297915
59,Johnson & Johnson,"Account Executive - Columbus, OH - AMO Sales and Services, Inc..",28939941,0.85915107,34303500,0.84651613,15581242,0.8351904
60,Accenture,Workday Sales Director,11902276,0.86632574,28939941,0.8660655,18208580,0.863678
61,TQL,Account Executive (Inside Sales),35474904,0.8776471,12504278,0.87681305,17781039,0.8662467
62,Spectrum,Business Sales Account Executive,24544244,0.931512,17189156,0.9206524,35474904,0.89370733
63,Dreamory Entertainment Group Sdn Bhd,Full Stack Web Developer,41152404,0.85394466,85101052,0.85313183,12144825,0.84561
64,EQUILOGICS,Web Developer,85101052,0.89027476,62994611,0.87172663,41152404,0.86073047
65,Commerce DotAsia Enterprise Sdn Bhd,Web Developer (Front-End),62994611,0.7787209,29134721,0.77089363,60489316,0.7646835
66,Publicis Groupe,Front-End Engineer/UI Developer,85101052,0.8433993,62994611,0.8425243,41152404,0.8286183
67,Grand-flo Spritvest Sdn Bhd,Software Engineer (Web),12472574,0.86765754,46260230,0.8551284,71422121,0.8545874
68,Bright Nexus (M) Sdn Bhd,Web Developer,43311839,0.79979664,12144825,0.79452693,22351830,0.7891435
69,MEGASAP,Interns (Web Developers Mobile Developers Game Developers),33141415,0.7547886,12144825,0.7381926,83816738,0.716707
70,FlexForce Industrial,Supply Chain Analyst,28973180,0.87524986,16877897,0.84650785,27243670,0.84540594
71,OakTree,Supply Chain Analyst IV,13964744,0.9059489,18365443,0.8881924,27485716,0.87936044
72,Berryman Chemical Inc.,Supply Chain Analyst,10189110,0.7998079,16449694,0.79889846,24833063,0.7955108
73,Waukesha Pearce Industries,Supply Chain Analyst (ED),34304175,0.8387584,24544244,0.8177395,37087824,0.8165751
74,Sysco,"Analyst II, Supply Chain - Corporate - US (Open)",12011623,0.7982135,21038022,0.74660975,85101052,0.7369553
75,Halliburton,Supply Chain Analyst - Senior,13964744,0.8412006,18365443,0.8353479,11963737,0.8353002
76,Texas Children's Hospital,Supply Chain Analyst,14181049,0.79913044,32308556,0.79869574,39675895,0.79157144
77,New Fortress Energy,Supply Chain Analyst,13964744,0.8378117,29134721,0.79175866,18365443,0.7697588
78,Shell,Business Analyst- Supply Chain,13964744,0.84842944,29134721,0.83967227,24038620,0.798306
79,Bloomingdale’s,"Commission Sales Associate - Men's, Full Time - Beverly Center",24544244,0.8716063,17189156,0.85070807,41910253,0.84969366
80,BLOOMINGDALE'S,"Commission Sales Associate - Men's, Full Time - Beverly Center",28939941,0.8718019,34303500,0.8262287,18208580,0.8058184
81,Grasstik,Commission Sales Associate,29926588,0.534512,21868149,0.51368207,54246169,0.5084504
82,"Macy's, Inc.","Retail Commission Sales Associate - Fine Jewelry, Del Amo Fashion...",28939941,0.80372447,26278597,0.8009597,29552167,0.799754
83,Macy's,"Retail Commission Sales Associate - Fine Jewelry, Northridge...",24544244,0.86124384,13520837,0.83795214,17189156,0.82524824
84,Neon Pizza,Kitchen prep / cleaning,29784524,0.7313806,20565849,0.6941577,78298706,0.6849493
85,HAWKINS HOUSE OF BURGERS,Kitchen Cleaner,19612167,0.80903697,20565849,0.79265696,36252245,0.7899988
86,Bon Appétit Management Company,Kitchen Cleaner (Utility),11130200,0.8316353,78298706,0.7996402,12092347,0.79015976
87,Motion Picture & Television Fund,Dishwasher/Kitchen Cleaner,18825446,0.72879803,29775391,0.724586,35579812,0.7113912
88,Los Angeles Airport Marriott,Utility Cleaner - Kitchen ($19.77/hr),17876954,0.82417387,11183737,0.82398224,16804396,0.82353735
89,Hotel Cleaning Services,"Overnight Janitor - Los Angeles, California",29784524,0.8433411,12092347,0.81474507,78298706,0.78506356
90,Dave & Buster's,Dishwasher,18825446,0.8333702,30311202,0.82477796,17704246,0.82432574
91,Green Guard Services,"Kitchen Exhaust Associate (Commerce, CA)",20565849,0.78479457,78298706,0.78137875,12092347,0.7666651
92,Michael Page,Senior Software Developer - Up to 160k - 100% Remote,13964744,0.8095826,29134721,0.80814546,62994611,0.8037181
93,ManTech,Software Developer - New Graduate,11020140,0.8459229,41152404,0.838596,62994611,0.8241107
94,Transcend,Software Engineer (US-Remote),60489316,0.7605424,29134721,0.7563249,41152404,0.75204307
95,Alley,Software Developer,29134721,0.8291297,24038620,0.8207507,11020140,0.81587756
96,Remote Team Inc.,Software Developer,29134721,0.8403068,13964744,0.8266795,32965335,0.8080001
97,UNAVAILABLE,Senior Software Developer- Full Stack (Remote),11020140,0.8235723,10265057,0.82241225,13964744,0.81800485
98,SOCi,Full Stack Software Engineer,12144825,0.8002294,85101052,0.79554784,51588273,0.7855518
99,Biofidelity,Software Developer,36856210,0.8788901,18457785,0.87764883,11020140,0.8730835
100,Inspire,Software Engineer (Remote),29134721,0.7912475,32965335,0.78304356,27152464,0.761557
101,DeMarco Inc,Vice President Operations,16353584,0.7417871,16203589,0.7406527,29087505,0.7389864
102,AD   ZipRecruiter,"Bank President Jobs in Columbus, Ohio",29926588,0.534512,21868149,0.51368207,54246169,0.5084504
103,Equity Commercial Real Estate Solutions,Senior Vice President of Property Management,18208580,0.833126,11902276,0.8314625,60624892,0.8286279
104,Fisher Investments,Regional Vice President of Sales,35164503,0.8518446,18805506,0.84436923,15811992,0.84104633
105,Aon,"Health Solutions, Vice President Actuary",69181350,0.88034934,17818707,0.8769088,27710853,0.8726462
106,The Ohio State University,Vice President for Inclusive Excellence,21796843,0.84889627,37348041,0.8387904,41523474,0.8221224
107,HARDI,Marketing Director,21867728,0.9202679,22706174,0.91424876,16276121,0.90936303
108,TEGNA Inc.,Marketing Director,25162378,0.8722231,16276121,0.87174153,29825044,0.86775124
109,GovCIO,"Director, Audience Marketing",80679862,0.86169136,21867728,0.85834795,16276121,0.84289414
110,Job Juncture,"Director, Sales & Marketing",25162378,0.91889656,69181350,0.90370464,18208580,0.9028554
111,Starry,B2B Marketing Manager,59696315,0.8860074,28939941,0.8839543,21867728,0.8828603
112,Aaron's Inc,Sales Manager,29865476,0.9028233,38225199,0.901793,35302620,0.90160745
113,PwC,SAP Alliance Marketing Director,21867728,0.9275571,29825044,0.9054345,79759716,0.90402955
114,"Direct Sales Recruiting, LLC","Marketing Director – E-Learning – Columbus, OH",21867728,0.8757544,25162378,0.8704272,13586069,0.8626894
115,Insight Global,Enterprise Sales Executive,16694152,0.8933633,18171955,0.89195997,17714174,0.88659227
116,Columbus Business First,Multi-Media Advertising Sales Executive,28939941,0.89464664,11902276,0.8810704,18208580,0.87992924
117,Great Lakes Brewing Company,"Field Sales Representative- Columbus, Ohio",41910253,0.87543654,24544244,0.8736154,17189156,0.85381246
118,Heartland,"Outside Sales Executive, Remote",18975686,0.910115,29552167,0.9086978,40088790,0.90227133
119,Nespresso,Retail Sales Associate,34033933,0.7843256,53265899,0.7786869,17312146,0.75612175
120,H&M,Retail Sales Associate,36970996,0.867417,34146825,0.8485538,29865476,0.8418592
121,Nike Inc,Retail Sales Associate,21809601,0.8840401,17189156,0.8697605,31225895,0.8595206
122,Gap,Sales Associate - Easton T/C,12504278,0.87452847,21856577,0.8701189,37735467,0.8662603
123,The Tile Shop,Part-Time Sales Associate,41910253,0.86403954,21809601,0.8613775,24544244,0.8547695
124,The Chefs' Warehouse,Selling - Inside Sales Associate,71772815,0.9273663,19473948,0.92692095,24230851,0.9138774
125,Lowe's,PT-Sales Associate - ProServices-Flexible,12504278,0.9194537,36970996,0.9016297,29865476,0.8994076
126,Galls LLC,"Retail Sales Associate - Full Time or Part Time (Columbus, Ohio)",36970996,0.90179634,31225895,0.8914492,34146825,0.88790023
127,Old Navy,Sales Associate - Sun Center,12504278,0.87976766,35474904,0.8662864,21856577,0.85447496
128,PetSmart,Retail Sales Associate,17189156,0.8387801,24544244,0.83737284,28745844,0.8355656
129,Performance Columbus Auto Group,Business Development Center Representative - Performance Columbus,17095812,0.8850827,13342150,0.8730951,29865476,0.86799943
130,coyote,Business Development Sales Representative - Columbus,17189156,0.88910234,41910253,0.88032144,24544244,0.8771574
131,Performance Automotive,Business Development Center Representative - Performance Columbus,17095812,0.8912913,26530696,0.8682898,36970996,0.8635702
132,Performance Columbus,Business Development Center Representative - Performance Cadillac GMC,71772815,0.9080029,19473948,0.9073785,17095812,0.8768426
133,Acadia Healthcare,Business Development Representative,19108760,0.8725103,39237915,0.8686916,12254068,0.85527563
134,Germain of Columbus,Automotive Business Development Center (BDC) Representative,49486820,0.84763014,35474904,0.83623236,24544244,0.8253541
135,Alberta Health Services,Registered Nurse,77266989,0.75554055,93988900,0.75269836,37640804,0.7459538
136,"Express Employment Professionals - Red Deer, AB",Bilingual Occupational Registered Nurse,16356151,0.78897226,67631413,0.7860251,16877897,0.76235616
137,Medika North Inc,Registered Nurse (RN),23617240,0.822363,34962725,0.8201518,14062078,0.8169787
138,Bethany Care Society,Registered Nurse (RN-CA02-007),29926588,0.82546246,12613221,0.8136544,77266989,0.8087826
139,Alio Health Services,Registered Nurse,16356151,0.86754787,24588864,0.85921615,80053367,0.8421997
140,AgeCare Ltd.,Registered Nurse Casual Mount Royal,77266989,0.8108557,25328428,0.7727783,34962725,0.7725295
141,Helix,"Senior Manager, Test",27152464,0.88606757,29134721,0.8791326,32965335,0.86677724
142,General Entertainment Content,Testing Monitor (DGE) - Part Time (NYC),41910253,0.89365935,24588864,0.8808006,11183737,0.8512994
143,Infosys,Firmware Test Engineer,41152404,0.83599097,83816738,0.80503047,71422121,0.8024564
144,New York State Civil Service,Test Center Monitor,22925443,0.76085883,24588864,0.7406694,55097118,0.72427416
145,Spotify,"Software Engineer, Test, Advertising",41152404,0.8543198,83816738,0.8271145,27152464,0.8144839
146,John Varvatos,Bulk Product Testing Coordinator,18753367,0.84833217,25919149,0.84292597,73075521,0.8418641
147,Wheels Up Partners LLC,Salesforce.com QA Tester,22259768,0.8880043,41152404,0.8831017,71422121,0.87022096
148,"Technogen, Inc",Test Developer,83816738,0.8342332,41152404,0.83411264,85101052,0.80981624
149,"CGI Technologies and Solutions, Inc.",Program Compliance Manager,23573064,0.83012235,23761385,0.82985044,16279537,0.81705266
150,"CGI Group, Inc.",Program Compliance Manager - Remote,23573064,0.8507581,23761385,0.84909487,11152490,0.8457941
151,Meta,"Governance, Risk & Compliance Program Manager",52246737,0.8315435,56068028,0.82196593,13964744,0.80846286
152,Prime Therapeutics,Compliance Manager,23573064,0.8047529,24550866,0.79558957,89049979,0.79329395
153,"Anthem, Inc",Compliance Director,23761385,0.8432399,23573064,0.84293497,16877897,0.83413243
154,EXPRESS,Sr analyst compliance,12011623,0.84501684,51724595,0.8182287,29134721,0.81710696
155,martinwolf | M&A Advisors,Marketing Manager,21867728,0.8973909,80679862,0.8904466,18354623,0.88597816
156,COLLEGE NOW GREATER CLEVELAND,College and Career Advisor - Cuyahoga County,29926588,0.8228214,34033933,0.7718414,25926667,0.76829684
157,H.O.P.E. Works,Job Coach,24588864,0.80817044,41910253,0.8059276,24544244,0.7789248
158,Youth Opportunities Unlimited,Career Specialist Instructor,33704389,0.85427225,27126818,0.8470754,29148871,0.84050137
159,Franchise Career Advisor,Digital Marketing Sales - Own the Territory – Run the Show,28939941,0.8051626,18208580,0.7801521,69181350,0.7788098
160,Grant Thornton LLP (US),Advisory Strategic Resource Manager,41910253,0.9151194,12938389,0.9059863,26932091,0.8766048
161,OHM Advisors,Water Resources Project Manager,28815362,0.86947095,24322804,0.85422325,32773331,0.8353134
162,State of Ohio,Criminal Investigator 2,19616406,0.7782424,14640322,0.76634336,57667857,0.75197387
163,"Department of Administrative Services, State of Ohio",Criminal Investigator,33750209,0.8173553,20604208,0.81513,24508725,0.8140507
164,Vcheck Global,Public investigator,24588864,0.83644927,33750209,0.8225437,24508725,0.80071294
165,Talentify,Organized Retail Crime Investigator- Virtual- Columbus,24588864,0.8068415,41910253,0.7870809,24544244,0.78201234
166,Allied Universal,Private Investigator,89049979,0.7770661,15100547,0.7634995,14708590,0.738033
167,"DigiStream Detroit, Inc.",Entry Level Surveillance Investigator,67631413,0.7244948,42546558,0.7171507,38663892,0.69826305
168,My Justice Career,Criminal justice,12341902,0.54833305,76010167,0.52823544,22408666,0.52363324
169,Allied Universal® Compliance and Investigations,Surveillance Investigator,27689009,0.7612312,29926588,0.68658745,26098594,0.6863792
170,Equifax,Claims Investigator,35474904,0.86607826,24588864,0.853611,24508725,0.85182834
171,"Davita, Inc.",Inventory Clerk,29926588,0.534512,21868149,0.51368207,54246169,0.5084504
172,DAVITA,Inventory Clerk,22925443,0.7442843,14267489,0.7418858,16449694,0.73923934
173,Walmart,Inventory Clerk,71576860,0.67169404,24544244,0.666245,17189156,0.66494364
174,Superior Air-Ground Ambulance,Inventory Clerk,22925443,0.8055081,71576860,0.7792195,14267489,0.77763706
175,Novo Distribution,Inventory Clerk,29926588,0.534512,21868149,0.51368207,54246169,0.5084504
176,Target Stores,Inventory Clerk,71576860,0.838801,18198627,0.8263906,83206166,0.8043117
177,Great Lakes Ace Hardware,Inventory Coordinator,99806115,0.9011475,12059610,0.88411313,49475708,0.8690504
178, State of Ohio Jobs,Civil Rights Investigator 1 - Columbus,28247753,0.75258934,27689009,0.7453742,28635795,0.74518687
179,OTC Industrial Technologies,Credit Collections Lead,24544244,0.89910597,38225199,0.89832085,12938389,0.88882077
180,Indeed,Staff Software Engineer - SMB - Marketing Enablement,85101052,0.85439116,28126340,0.8415624,60489316,0.83831227
181,ModMed,Patient Services Specialist (Remote),32219038,0.8709841,37001381,0.86250305,35474904,0.84782565
182,FCX Performance,Accounts Receivable-FC,35474904,0.87630445,22925443,0.8534041,20253563,0.8523878
183,Dawson Resources,Collections,92524964,0.87998843,53640713,0.875633,26750846,0.8744017
184,New York Life,Financial Professional – Financial / Insurance – Entry Level,41910253,0.9046032,24544244,0.8749178,35474904,0.8664496
185,Country Financial,Insurance Agent,12955994,0.81521165,17602815,0.8094716,19108760,0.80782694
186,Platinum Supplemental Insurance,Entry-Level Sales,34303500,0.84061337,28939941,0.83984554,11902276,0.8348968
187,LabCorp,Vice President/General Manager (VP/GM),17818707,0.8712791,25397102,0.86221325,58165257,0.856845
188,Legal Zoom,Vice President/Practice Leader of Tax,18208580,0.8828585,17818707,0.8793422,11902276,0.8769293
189,Mathematica,"Senior Vice President and Managing Director, International Research",16237710,0.86187005,60624892,0.8579556,95382114,0.85018015
190,U.S. Bank,Customer Service - Fraud Liaison Specialist,24544244,0.8874458,35474904,0.8844527,17189156,0.8817319
191,JPMorgan Chase and Co,Fraud Awareness Educator – Associate,24588864,0.8834486,27847081,0.8795074,41910253,0.8675661
192,Barclays,Fraud Resolution Analyst,28989677,0.81849897,35474904,0.78975195,34594746,0.7752936
193,Regions Bank,Fraud Systems Analyst (REMOTE OPPORTUNITY),60624892,0.82332456,15581242,0.8065182,28939941,0.8045716
194,eTeam,Fraud & Compliance - AML/BSA Specialist,15891494,0.88417244,41950126,0.8752984,28989677,0.87304854
195,Aston Carter,Fraud Investigator,41910253,0.87144285,24588864,0.8569963,22925443,0.8223118
196,Alsco,Office Clerk,32219038,0.8447859,24588864,0.84260005,35474904,0.83043826
197,American Cybersystems,Office Clerk,14496667,0.769906,29221006,0.7671494,20918464,0.7656305
198,Central Health Solutions,General Office Clerk,24230851,0.89253604,23246831,0.89017355,24590489,0.8829528
199,Randstad,Office Clerk,14267489,0.81631297,20918464,0.787169,21782152,0.77793825
200,The State of Florida,OPS DEPUTY CLERK,14267489,0.88549376,32219038,0.8740993,14496667,0.8730805
201,Akerman LLP,Part-Time Office Services Clerk,21782152,0.8447751,28614791,0.81569886,22861181,0.8113713
202,"Magic Transport, Inc",General Office Clerk / Data Entry,67631413,0.78962713,20918464,0.78445494,37087824,0.7524018
203,"Accent Controls, Inc",General Clerk II,21782152,0.8818362,28745844,0.875882,24588864,0.8640691
204,"Morgan  Morgan, P.A.",Runner (Mail Clerk),30397268,0.8633228,55097118,0.8590429,14267489,0.8564602
205,Jacksonville Job Corps Center,Clerical,32219038,0.87974447,14256329,0.85437244,35474904,0.8538217
206,State of OH-- Attorney General,Medicaid Fraud Intake Officer  (22000555),27689009,0.76107645,26098594,0.7259557,28247753,0.71691096
207,"Prince George's County, Maryland  Upper Marlboro, MD On-site",Investigator 1G,24508725,0.80573463,24184357,0.79953414,24588864,0.79838187
208,Hirschbach - Team Drivers,CDL Team Truck Driver and Lease Operators +,32605413,0.7350666,81588968,0.73071945,26819872,0.7069706
209,Ozark Logistics LLC,CDL-A Flatbed Truck Driver,42546558,0.71257234,67631413,0.6736412,38663892,0.6706052
210,JobsInLogistics.com,CDL A Regional Drivers,42546558,0.712642,19147947,0.6928732,20141807,0.6834122
211,Innovative Cleaning Services LLC,Dump Truck Driver,36252245,0.7795161,35651876,0.76564765,22983516,0.7639042
212,POOLCORP,CDL Local Route Delivery Truck Driver,22650051,0.8174393,39855211,0.80036455,17704246,0.79841006
213,Cardinal Logistics,CDL-A Truck Driver - $5K Sign On Bonus,81588968,0.7700094,32605413,0.7545766,11130200,0.7151269
214,"Transco Lines, Inc.","CDL A Team Drivers - Sign-On Bonus Up To $10,000!",67631413,0.68458325,42546558,0.68450737,19147947,0.6651167
215,Quality Carriers,Class A - Regional Truck Driver - Home Weekly - Out 2 Days or Less,32605413,0.6567428,81588968,0.63178504,42641525,0.6302284
216,"CRST Expedited - Regional Louisville, KY",Solo Class A CDL Driver,42546558,0.70125467,38698573,0.6643828,16877897,0.6595181
217,PeopleConnect Staffing,CEO - Cannabis & Investment,18208580,0.88184583,13313917,0.87873703,95382114,0.87582064
218,Evolent Health,Chief of Staff,68781345,0.902004,28939941,0.8952676,26173524,0.8923526
219,Nikola Labs,CFO - Fast Growing Startup,18208580,0.82240355,14517953,0.79870915,28939941,0.79680073
220,Select Specialty Hospital-Columbus East,Chief Executive Officer (CEO),33803142,0.88944286,28423028,0.87966156,13565152,0.8725606
221,LifePoint Health,Chief Financial Officer (CFO),15363277,0.8518262,84356308,0.84163237,19818707,0.8412576
222,Allstate,Allstate Agency Owner - CEO of You,17818707,0.88691,12955994,0.88355523,18208580,0.88087624
223,"Transtar Industries  Walton Hills, OH Remote ",Customer Service Representative - Remote,35474904,0.9083842,34594746,0.89244986,24544244,0.8791491
224,"Guest Supply  Grove City, OH Remote",Customer Service Representative (Work at Home),35474904,0.9020504,34594746,0.89169496,27847081,0.8894391
225,DEPARTMENT OF DEFENSE Defense Counterintelligence and Security Agency,Investigator,24588864,0.845294,24508725,0.8423133,24184357,0.8380068
226,DEPARTMENT OF JUSTICE Drug Enforcement Administration,Diversion Investigator,33750209,0.81848586,24508725,0.8103899,29134372,0.7938342
227,"National Security Agency  Fort Meade, MD ",Polygraph Examiner - Entry to Mid-Level (MD),29134372,0.80594,24508725,0.79855317,33750209,0.7908969
228,SPECIAL AGENT - GS 1811-10 (EXTERNAL - All U.S. Citizens),Special Agent,24508725,0.78818244,24588864,0.7820476,29134372,0.77216226
229,"Maryhaven, Inc.",MARKETING SPECIALIST,81508860,0.86547005,28939941,0.86124516,21867728,0.85608435
230,Pyramid Consulting,Marketing Specialist/ Brand Marketing || Work from Home,11850315,0.8760611,16276121,0.8751432,81508860,0.87493056
231,Colliers I Columbus,Marketing Specialist,28939941,0.8423164,81508860,0.8300582,21867728,0.82972264
232,Wolters Kluwer,Marketing Specialist,29825044,0.8738196,21867728,0.8641363,25162378,0.8578157
233,Gravity,Marketing Event Coordinator,28939941,0.86750424,59696315,0.8221771,67501448,0.8079152
234,"Peraton  Arlington, VA","Background Investigator (FT Employee) - Arlington, VA",41910253,0.8120162,24588864,0.8105031,24544244,0.7624704
235,"CIA  Washington, DC On-site",Polygraph Examiner,29926588,0.75829643,12613221,0.7134962,50775901,0.6851493
236,DCG TRADE,Construction Project Manager,15721849,0.8802407,32773331,0.8758006,22718826,0.87316275
237,Haley & Aldrich,Project Manager (CCR focused),28815362,0.8639158,11415967,0.84926134,24322804,0.83580315
238,"MCM Company, Inc.",Sr. Project Manager,32773331,0.87845135,19364677,0.8781662,16203589,0.8759649
239,"C&K Industrial Services, Inc.",Infrastructure Services Project Manager,26127853,0.8937706,17781039,0.8873706,11183737,0.8847029
240,Iontra LLC,Project Manager 100% Remote,68781345,0.8913429,28697203,0.859691,26173524,0.8514204
241,Atlas,Environmental Project Manager,24322804,0.82547235,32773331,0.8183861,28815362,0.8157202
242,Professional Placement Services,Project Manager,19364677,0.88122594,15721849,0.8765617,32773331,0.871413
243,The Adcom Group,Digital Development Project Manager,13405733,0.88942313,21867728,0.88452613,68781345,0.8699559
244,THP Limited,Project Manager,24322804,0.8486825,17103000,0.8385923,10041713,0.83464605
245,APEX Race Parts,Ecommerce Manager  Remote,29196643,0.8837055,26790545,0.8576627,51724595,0.85716015
246,Sherwin-Williams,Senior eCommerce Engineer,28126340,0.87577564,21297521,0.8632318,22605864,0.8553561
247,Emerald Resource Group,E-Commerce Manager,60624892,0.76602376,19557384,0.7648504,15811992,0.75511
248,Graybar,Remote E-Commerce Technical Analyst,13964744,0.91270006,32965335,0.90215695,29134721,0.89756316
249,Apolis,IT Project Manager III - Contract to Hire - Fortune Client,27536013,0.8469293,28126340,0.83615315,27485716,0.8317455
250,Kantar,Ecommerce Consultant,25162378,0.92119354,59696315,0.9100733,34797369,0.90699124
251,Fortune Brands,Senior Project Manager - eCommerce-Certified Scrum Master,13964744,0.8318622,29134721,0.82368726,57364820,0.81433964
252,Smuckers,"Manager, Commerce Marketing",59696315,0.9260653,69181350,0.91397154,25162378,0.906638
253,TEKsystems,Project Manager I/II- Remote,27485716,0.9092279,27536013,0.89299726,32563518,0.88833946
