Job Description Index,Company Name,Position Title,Most similar cluster index,Most similarity cluster scores,Most similar cluster keyword,Top_1_Resume_ID,Top_1_Similarity,Top_2_Resume_ID,Top_2_Similarity,Top_3_Resume_ID,Top_3_Similarity
16,Sedgwick,Senior Web Designer (REMOTE),4,0.8676775729680246,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",26790545.0,0.9051399708560826,18795567.0,0.895138662553094,34317538.0,0.8924406835956179
17,Ohio ENT & Allergy Physicians,Chief Executive Officer,2,0.9177111453597298,"['state', 'city', 'student', 'company', 'name', 'skill', 'program', 'education', 'training', 'patient']",66683238.0,0.9404201022869345,29926588.0,0.9352275608922775,84512719.0,0.934970898518898
18,Confidential Jobs,"Executive Vice President & Chief Executive Officer (CEO), Medical...",0,0.6405338396952458,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",50328713.0,0.7099309995003025,24668861.0,0.6960292052605035,18024825.0,0.6868208095825629
19,RiverVista Health and Wellness,CEO,1,0.9439660175624272,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",33803142.0,0.9622278036178169,39237915.0,0.960759055886513,18784594.0,0.9590139604246066
20,Salt Creek Capital,CEO,1,0.9055805025320319,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",48285304.0,0.9294962515459597,11653906.0,0.9293303390288716,18636651.0,0.9263152325821509
21,Ascend Innovations,"CEO, Positivly",3,0.9369761697330006,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",11902276.0,0.9573478334949781,25162378.0,0.9567943474897018,28939941.0,0.9557999204197294
22,ExecHQ,Chief Executive Officer - CEO Consultant,1,0.9244277107091345,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",18784594.0,0.933999364232414,19108760.0,0.9302515665943052,82118447.0,0.929505013413356
23,Confidential,Chief Executive Officer,2,0.938193866646349,"['state', 'city', 'student', 'company', 'name', 'skill', 'program', 'education', 'training', 'patient']",34962725.0,0.9566164693614563,29134372.0,0.9527695546885546,19926135.0,0.9498208056469593
24,On Time Talent Solutions,Chief Executive Officer - Healthcare - Columbus,2,0.927139800620929,"['state', 'city', 'student', 'company', 'name', 'skill', 'program', 'education', 'training', 'patient']",60624892.0,0.9489691655278486,17624934.0,0.9447854132620273,98309114.0,0.9407644164845639
25,Vistage Worldwide,CEO Coach,2,0.9053233537615555,"['state', 'city', 'student', 'company', 'name', 'skill', 'program', 'education', 'training', 'patient']",66683238.0,0.9301087029123695,99244405.0,0.9213497617433333,17911230.0,0.9189261386109402
26,HSBC,Assistant Vice President Premier Relationship Manager,1,0.9488177764714288,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",24967652.0,0.9560665936225621,33370664.0,0.9514264216322872,80162314.0,0.950962199829499
27,Owner Actions,Digital Marketing Specialist,3,0.9516108063698994,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",85421438.0,0.9546748131344963,15423153.0,0.9532291073500245,59011090.0,0.952626903828282
28,OhioHealth,Senior Marketing Specialist,4,0.9093222512302177,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",21867728.0,0.939887243596309,89740812.0,0.9381258396214005,29134721.0,0.9377963884316547
29,Express,"Performance Marketing Specialist, Paid Media",3,0.938164375860048,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",28939941.0,0.957494115531459,16276121.0,0.9549166701155768,15479281.0,0.9513022160256963
30,Dispatch,"Software Engineer - Reno, NV",4,0.9183910836962322,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",33141415.0,0.9278727865843956,62994611.0,0.9259761355221916,29134721.0,0.9252970718411494
31,Epic,Software Engineer,4,0.9305358907886923,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",12011623.0,0.9431036889685148,11963737.0,0.9419639051553421,21038022.0,0.941422112839646
32,Revature LLC,Entry Level Software Engineer,2,0.9285852953839833,"['state', 'city', 'student', 'company', 'name', 'skill', 'program', 'education', 'training', 'patient']",66683238.0,0.9381995079215287,37348041.0,0.9365350085271678,29926588.0,0.9339593648320903
33,Light & Wonder,Associate Software Engineering,4,0.9360927313656473,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",41152404.0,0.945012908501457,12472574.0,0.9425698200259399,13149176.0,0.9411009067791087
34,Hughes Private Capital LLC,Software Engineer,4,0.9641796991691132,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",62994611.0,0.9664787630733825,36856210.0,0.9649535681777655,85101052.0,0.9643742133727411
35,Hired,Software Engineer,4,0.9117153016735937,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",62994611.0,0.9371778432549078,26746496.0,0.9355608433161677,16186411.0,0.9344280428223897
36,Blockchains,Software Engineer (JavaScript Backend),4,0.9455463988552826,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",62994611.0,0.9589299260031205,11020140.0,0.9520771293377079,41152404.0,0.9520764201843128
37,"Vitalwerks Internet Solutions, LLC",Senior Software Engineer,4,0.9256058051279314,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",12011623.0,0.9359764280237789,29524570.0,0.934981845624749,85101052.0,0.9335267437196382
38,Germer International,Warehouse Manager,0,0.9435857580157625,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",28628090.0,0.9618949179964993,36252245.0,0.9594033559678616,20905088.0,0.9560819320368737
39,The Coca Cola Company,Warehouse Manager,0,0.9056945948731616,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",36252245.0,0.9241648056582243,28628090.0,0.9207571903031286,17704246.0,0.9205289427616845
40,Coca-Cola Consolidated,Warehouse Manager IV,1,0.9571536895566877,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",34304175.0,0.9684230553708301,11183737.0,0.9665094339213044,16279537.0,0.9652662134023313
41,Graham Packaging,Warehouse Manager,0,0.9081360352637482,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",19612167.0,0.9267265852570754,20905088.0,0.924101930741339,15823995.0,0.9203533269072659
42,Floor & Decor,Warehouse Supervisor,1,0.949597109876453,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",18155310.0,0.9576532604055769,34304175.0,0.9545283411047045,11183737.0,0.9525634669110696
43,Norwalk Furniture & Design,Warehouse Manager,1,0.9104608780556003,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",34304175.0,0.9311350536599341,24544244.0,0.9298126361104662,29865476.0,0.9270331809021348
44,Standlee Premium Western Forage,Warehouse Management Specialist,0,0.8621277478025238,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",11130200.0,0.9009622731147129,19147947.0,0.8977887380115043,17655479.0,0.8904523941471949
45,Lansing Building Products,"Warehouse Manager - Lexington, KY",0,0.9366054217109852,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",28321954.0,0.964906200393842,17704246.0,0.9648195865947906,17655479.0,0.9633230312597357
46,AVI Foodsystems,Warehouse Supervisor,0,0.9238301651737422,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",36252245.0,0.9527320616836387,16449694.0,0.946603545816932,11409460.0,0.9436924992309665
47,NASB Financial Inc.,Bank Teller,1,0.9240728082986639,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",64471954.0,0.949630789421524,13352113.0,0.94164731463001,17189156.0,0.940249105570775
48,Citizens Bank & Trust,Part-time Bank Teller/Financial Services Representative,1,0.9409648080725993,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",24544244.0,0.9510780983673337,17189156.0,0.9501817089453983,13352113.0,0.9495900415873211
49,The Bank of Grain Valley,Bank Teller,1,0.8562010175785675,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",54067174.0,0.8848159558337575,37360517.0,0.8808387112694785,18484846.0,0.8757000573562395
50,Landmark National Bank,Full Time Teller,1,0.9404475401928256,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",15337481.0,0.9562416252685826,13909762.0,0.9541477203870251,36905896.0,0.9533650160699334
51,Bank Of America,Bank Teller,1,0.9183397135869408,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",24544244.0,0.9322815799656257,28808263.0,0.9287910812226507,11262933.0,0.9272440172891612
52,Central Bank of the Midwest,Seasonal Teller,1,0.9233412117812463,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",34594746.0,0.956712937025509,14508237.0,0.9486666003209941,58208591.0,0.9465862700556285
53,US Bank,Bank Teller,1,0.8839247793046023,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",24544244.0,0.8988288469026046,11444536.0,0.8958380442058691,14508237.0,0.8949699103393683
54,The Bank of Grain Valley -,Bank Teller,1,0.9070019174250035,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",28808263.0,0.9285435050617018,10554045.0,0.9203142343282287,64471954.0,0.9196277325863307
55,"J.B. Hunt Transport Services, Inc.",Sales Executive,1,0.9478151657090395,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",24544244.0,0.9579969415672263,17714174.0,0.9559641382047434,80527194.0,0.9528948075232105
56,FIS,Sales Executive III Client Management,1,0.9515311168770524,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",18208580.0,0.9655712444214544,35164503.0,0.959311276779574,18805506.0,0.9585320111837101
57,AC Hotel Columbus Downtown,Sales Manager,1,0.9399704524665482,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",24544244.0,0.9464777133867657,11773767.0,0.9451479558790246,29865476.0,0.9435176675850043
58,SPECTRUM,Account Executive,3,0.9564144915930348,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",29399491.0,0.9644450045965093,34303500.0,0.9643842566831452,28939941.0,0.9642220154882157
59,Johnson & Johnson,"Account Executive - Columbus, OH - AMO Sales and Services, Inc..",2,0.9263926329487325,"['state', 'city', 'student', 'company', 'name', 'skill', 'program', 'education', 'training', 'patient']",66683238.0,0.9382283319405479,20565486.0,0.9328378704722892,60624892.0,0.9315468185063012
60,Accenture,Workday Sales Director,1,0.9323767134655914,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",35474904.0,0.9523531113106323,38225199.0,0.9508770614934616,26932091.0,0.9498917898073012
61,TQL,Account Executive (Inside Sales),1,0.9492944521304749,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",17781039.0,0.9613933933781036,11958994.0,0.9604818046590655,35474904.0,0.9599698156706072
62,Spectrum,Business Sales Account Executive,1,0.9573329991832664,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",24544244.0,0.9712293725504146,35474904.0,0.9687885362856291,17189156.0,0.966966669336
63,Dreamory Entertainment Group Sdn Bhd,Full Stack Web Developer,4,0.9396142047847955,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",62994611.0,0.9464361169453706,41152404.0,0.9450306341561385,33141415.0,0.9429176951036856
64,EQUILOGICS,Web Developer,4,0.9481390459032812,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",62994611.0,0.9585434991949653,13964744.0,0.9559929100041238,85101052.0,0.9529039929495924
65,Commerce DotAsia Enterprise Sdn Bhd,Web Developer (Front-End),4,0.894707861875438,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",13964744.0,0.9126868992203021,29134721.0,0.9091760046578079,22450718.0,0.9081136653673413
66,Publicis Groupe,Front-End Engineer/UI Developer,4,0.9304624094097518,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",62994611.0,0.947598226933065,41152404.0,0.9437831960241274,26790545.0,0.9409395827941472
67,Grand-flo Spritvest Sdn Bhd,Software Engineer (Web),4,0.9130733611536603,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",22450718.0,0.9290311238166221,12472574.0,0.9244317010596999,13149176.0,0.9226208329916401
68,Bright Nexus (M) Sdn Bhd,Web Developer,4,0.8913352405754822,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",26746496.0,0.918663702905427,16186411.0,0.9152670033838006,62994611.0,0.9149075817985416
69,MEGASAP,Interns (Web Developers Mobile Developers Game Developers),4,0.8581531007769434,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",33141415.0,0.8991909759261627,62994611.0,0.8758373621378925,29524570.0,0.8748031799192282
70,FlexForce Industrial,Supply Chain Analyst,1,0.9520379230631187,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",11444536.0,0.9616286675203842,30397268.0,0.9565405983611006,26459032.0,0.9559310027179969
71,OakTree,Supply Chain Analyst IV,1,0.9425230857667617,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",25397102.0,0.964380118837592,57601040.0,0.9601101178457461,26932091.0,0.9599994911332097
72,Berryman Chemical Inc.,Supply Chain Analyst,1,0.915156766450772,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",11444536.0,0.940232985566331,94137171.0,0.9352528805838058,10189110.0,0.931816181241329
73,Waukesha Pearce Industries,Supply Chain Analyst (ED),1,0.9228396447200103,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",34304175.0,0.9464016648348494,24544244.0,0.9424828424870604,11444536.0,0.9386058749601607
74,Sysco,"Analyst II, Supply Chain - Corporate - US (Open)",4,0.900561145424579,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",12011623.0,0.9286423022925887,13964744.0,0.9221074826515809,24610685.0,0.9164616254894304
75,Halliburton,Supply Chain Analyst - Senior,1,0.9328827053249429,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",25397102.0,0.946806401469722,11444536.0,0.9466360553777755,26932091.0,0.9436041600049208
76,Texas Children's Hospital,Supply Chain Analyst,1,0.9121443762808099,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",12315079.0,0.9315181188874071,17152392.0,0.9282705665050035,40792022.0,0.9280180767450825
77,New Fortress Energy,Supply Chain Analyst,4,0.834729038220209,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",13964744.0,0.8815233211753911,21156767.0,0.8744349488529387,22450718.0,0.8736475173547149
78,Shell,Business Analyst- Supply Chain,0,0.9256641446879302,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",22983516.0,0.9468772396906262,30344127.0,0.9449612251084014,28628090.0,0.9447046621592974
79,Bloomingdale’s,"Commission Sales Associate - Men's, Full Time - Beverly Center",3,0.9050057128291855,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",28939941.0,0.93755064752578,22391901.0,0.934323955894315,17694454.0,0.9306467076295448
80,BLOOMINGDALE'S,"Commission Sales Associate - Men's, Full Time - Beverly Center",3,0.9098465666926552,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",28939941.0,0.9312021350917205,22391901.0,0.9305615644292276,26691587.0,0.9264333111777963
81,Grasstik,Commission Sales Associate,0,0.6405338396952458,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",50328713.0,0.7099309995003025,24668861.0,0.6960292052605035,18024825.0,0.6868208095825629
82,"Macy's, Inc.","Retail Commission Sales Associate - Fine Jewelry, Del Amo Fashion...",3,0.8868485692310826,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",29928796.0,0.9124210263842742,41586420.0,0.9073062417427233,17659053.0,0.9033014898032845
83,Macy's,"Retail Commission Sales Associate - Fine Jewelry, Northridge...",3,0.9331802742563975,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",28939941.0,0.9441668106756729,22391901.0,0.9434211862334472,17694454.0,0.9411727971679331
84,Neon Pizza,Kitchen prep / cleaning,0,0.8373022072610214,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",12092347.0,0.8769107687248083,17704246.0,0.8714740700750385,12059610.0,0.8708112761356723
85,HAWKINS HOUSE OF BURGERS,Kitchen Cleaner,0,0.9110471908937794,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",19612167.0,0.9257127635287041,17704246.0,0.924934358052335,28756444.0,0.9235277519001324
86,Bon Appétit Management Company,Kitchen Cleaner (Utility),0,0.8443092844940986,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",11130200.0,0.9082992136201067,12059610.0,0.9015075759582052,12092347.0,0.8997244867977476
87,Motion Picture & Television Fund,Dishwasher/Kitchen Cleaner,0,0.832301681334424,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",69005326.0,0.8712245779924881,17704246.0,0.8653417264746395,12092347.0,0.860252479650711
88,Los Angeles Airport Marriott,Utility Cleaner - Kitchen ($19.77/hr),0,0.8701697082670979,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",17704246.0,0.9007686233033563,28756444.0,0.8987143164443077,28321954.0,0.896247479752226
89,Hotel Cleaning Services,"Overnight Janitor - Los Angeles, California",0,0.8625251455892924,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",69005326.0,0.9225377546480666,12092347.0,0.9145220077315083,29784524.0,0.9136599835856581
90,Dave & Buster's,Dishwasher,0,0.8419837182209295,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",12092347.0,0.9001783990256607,69005326.0,0.8942751466069827,12059610.0,0.8919419067470016
91,Green Guard Services,"Kitchen Exhaust Associate (Commerce, CA)",0,0.8945017735191332,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",12092347.0,0.9335584341155632,69005326.0,0.9289991830196795,12059610.0,0.9281871324303934
92,Michael Page,Senior Software Developer - Up to 160k - 100% Remote,4,0.9230063879434564,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",29134721.0,0.9392718522995132,13964744.0,0.9347746623405528,62994611.0,0.9312451430328001
93,ManTech,Software Developer - New Graduate,4,0.9443556159741626,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",29134721.0,0.9532748607494836,11020140.0,0.950557899183655,22450718.0,0.9492731879734706
94,Transcend,Software Engineer (US-Remote),4,0.8286450757956743,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",13964744.0,0.8507508330663156,22450718.0,0.84789042571687,83338413.0,0.8472729413912687
95,Alley,Software Developer,4,0.9248005586933395,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",29134721.0,0.9451377478190555,12472574.0,0.9306425838159591,21125113.0,0.9291171148117006
96,Remote Team Inc.,Software Developer,0,0.9273690499736993,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",26496059.0,0.945336370107573,22983516.0,0.9450956890712578,30344127.0,0.9407065230662922
97,UNAVAILABLE,Senior Software Developer- Full Stack (Remote),4,0.9173474556659935,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",13149176.0,0.93267354995231,11020140.0,0.9303343237276648,13964744.0,0.9278131093610826
98,SOCi,Full Stack Software Engineer,4,0.9276346884110962,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",33141415.0,0.9452153443933675,62994611.0,0.9407380045514586,21297521.0,0.9343361589316956
99,Biofidelity,Software Developer,4,0.9417926566920536,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",18457785.0,0.9579539002248773,13964744.0,0.9575736262699066,22450718.0,0.9565932180036812
100,Inspire,Software Engineer (Remote),4,0.9450252327196365,"['system', 'management', 'project', 'company', 'state', 'city', 'network', 'data', 'software', 'support']",29134721.0,0.94866659648588,12472574.0,0.944838852972032,21038022.0,0.9440714895042279
101,DeMarco Inc,Vice President Operations,3,0.9126312810139211,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",19147494.0,0.9227025837750746,34554248.0,0.9187837634510937,79376680.0,0.9185634050709822
102,AD   ZipRecruiter,"Bank President Jobs in Columbus, Ohio",0,0.6405338396952458,"['project', 'state', 'city', 'company', 'name', 'system', 'management', 'construction', 'engineering', 'design']",50328713.0,0.7099309995003025,24668861.0,0.6960292052605035,18024825.0,0.6868208095825629
103,Equity Commercial Real Estate Solutions,Senior Vice President of Property Management,1,0.9450263282628251,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",18208580.0,0.952224721146001,91515108.0,0.9492399471030728,18171955.0,0.9468210797481105
104,Fisher Investments,Regional Vice President of Sales,1,0.9391120601610058,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",18805506.0,0.9537701021522687,35164503.0,0.9528937837860103,17131084.0,0.9497521157175729
105,Aon,"Health Solutions, Vice President Actuary",1,0.9449840333940037,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",12955994.0,0.9620117561190126,39237915.0,0.9575044985689842,24550866.0,0.9572051266074644
106,The Ohio State University,Vice President for Inclusive Excellence,2,0.911498550223834,"['state', 'city', 'student', 'company', 'name', 'skill', 'program', 'education', 'training', 'patient']",29926588.0,0.9298640959668658,21663616.0,0.9270367025337538,36019469.0,0.9229830768251073
107,HARDI,Marketing Director,3,0.925778523413751,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",22706174.0,0.9618781671706507,79759716.0,0.9492235585230687,28939941.0,0.9487447232681095
108,TEGNA Inc.,Marketing Director,3,0.9430617777459454,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",16276121.0,0.9509019239881884,25162378.0,0.9508659760212712,49119887.0,0.9508447703641809
109,GovCIO,"Director, Audience Marketing",1,0.9453234817555928,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",17132168.0,0.9593545108053818,17818707.0,0.9591596030778068,19497420.0,0.9590276757027805
110,Job Juncture,"Director, Sales & Marketing",1,0.9367820788544412,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",29208172.0,0.947600954554168,17818707.0,0.9475982114690027,18208580.0,0.9475584954169085
111,Starry,B2B Marketing Manager,3,0.9413548216710299,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",28939941.0,0.9603927552892526,25162378.0,0.9532806567294904,59696315.0,0.9530620095489448
112,Aaron's Inc,Sales Manager,1,0.9690777735633906,"['company', 'state', 'management', 'city', 'customer', 'name', 'business', 'service', 'financial', 'account']",29865476.0,0.9773682767264955,24967652.0,0.9731624509170387,12587973.0,0.9706482184370312
113,PwC,SAP Alliance Marketing Director,3,0.927205917056092,"['sale', 'company', 'state', 'city', 'customer', 'name', 'marketing', 'service', 'business', 'management']",59696315.0,0.9633892050093023,22706174.0,0.9621478560297287,79759716.0,0.9606399670996391
